NSM,YNSM,Norseman Airport[1],"Norseman, Western Australia, Australia",
NSN,NZNS,Nelson Airport,"Nelson, New Zealand",
NSO,YSCO,Scone Airport[1],"Scone, New South Wales, Australia",
NST,VTSF,Nakhon Si Thammarat Airport,"Nakhon Si Thammarat, Thailand",
NSV,YNSH,Noosa Airport[1],"Noosaville, Queensland, Australia",
NSY,LICZ,Naval Air Station Sigonella,"Catania, Sicily, Italy",
NTA,,Natadola Seaplane Base[1],"Natadola Bay, Fiji",
NTB,ENNO,"Notodden Airport, Tuven","Notodden, Norway",
NTC,,Santa Carolina Airport[1],"Santa Carolina, Mozambique",
NTD,KNTD,NAS Point Mugu (Naval Base Ventura County),"Point Mugu, California, United States",
NTE,LFRS,Nantes Atlantique Airport,"Nantes, Pays de la Loire, France",
NTG,ZSNT,Nantong Xingdong Airport,"Nantong, Jiangsu, China",
NTI,,Stenkool Airport[1],"Bintuni, Indonesia",
NTJ,,Manti-Ephraim Airport (FAA: 41U),"Manti, Utah, United States",
NTL,YWLM,Newcastle Airport / RAAF Base Williamtown,"Newcastle, New South Wales, Australia",
NTM,SNRW,Miracema do Tocantins Airport[1],"Miracema do Tocantins, Tocantins, Brazil",
NTN,YNTN,Normanton Airport[1],"Normanton, Queensland, Australia",
NTO,GVAN,Agostinho Neto Airport,"Santo Antão, Cape Verde",
NTQ,RJNW,Noto Airport[1],"Wajima, Honshu, Japan",
NTR,MMAN,Del Norte International Airport[1],"Monterrey, Nuevo León, Mexico",
NTT,NFTP,Niuatoputapu Airport,"Niuatoputapu, Tonga",
NTU,KNTU,NAS Oceana (Apollo Soucek Field),"Virginia Beach, Virginia, United States",
NTX,WION,Ranai Airport,"Natuna Islands, Indonesia",
NTY,FAPN,Pilanesberg International Airport,"Sun City, South Africa",
NUA,,Gregory Lake Seaplane Base[1],"Nuwara Eliya, Sri Lanka",
NUB,YNUM,Numbulwar Airport[1],"Numbulwar, Northern Territory, Australia",
NUD,HSNH,En Nahud Airport[1],"En Nahud, Sudan",
NUE,EDDN,Nuremberg Airport,"Nuremberg, Bavaria, Germany",
NUF,,Castlereigh Reservoir Seaplane Base[1],"Hatton, Sri Lanka",
NUG,,Nuguria Airstrip[1],"Nuguria, Papua New Guinea",
NUH,,Nunchía Airport[1],"Nunchía, Colombia",
NUI,PAQT,Nuiqsut Airport (FAA: AQT),"Nuiqsut, Alaska, United States",
NUJ,OIHS,Hamedan Air Base[1] (Nogeh Airport),"Hamadan, Iran",
NUK,NTGW,Nukutavake Airport,"Nukutavake, Tuamotus, French Polynesia",
NUL,PANU,Nulato Airport,"Nulato, Alaska, United States",
NUM,OENN,Neom Bay Airport,"Neom, Saudi Arabia",
NUN,KNUN,NOLF Saufley Field,"Pensacola, Florida, United States",
NUP,,Nunapitchuk Airport (FAA: 16A),"Nunapitchuk, Alaska, United States",
NUQ,KNUQ,Moffett Federal Airfield,"Mountain View, California, United States",
NUR,YNUB,Nullabor Motel Airport[1],"Nullarbor, South Australia, Australia",
NUS,NVSP,Norsup Airport,"Norsup, Malakula, Vanuatu",
NUT,,Nutuve Airport[1],"Nutuve, Papua New Guinea",
NUU,HKNK,Nakuru Airport[1],"Nakuru, Kenya",
NUW,KNUW,NAS Whidbey Island (Ault Field),"Oak Harbor, Washington, United States",
NUX,USMU,Novy Urengoy Airport,"Novy Urengoy, Yamalo-Nenets Autonomous Okrug, Russia",
NVA,SKNV,Benito Salas Airport,"Neiva, Colombia",
NVD,KNVD,Nevada Municipal Airport,"Nevada, Missouri, United States",
NVG,MNNG,Nueva Guinea Airport[1],"Nueva Guinea, Nicaragua",
NVI,UTSA,Navoi International Airport[1],"Navoiy, Uzbekistan",
NVK,ENNK,"Narvik Airport, Framnes","Narvik, Norway",
NVN,,Nervino Airport (FAA: O02),"Beckwourth, California, United States",
NVP,,Novo Aripuanã Airport[1],"Novo Aripuanã, Amazonas, Brazil",
NVR,ULNN,Novgorod Airport,"Veliky Novgorod, Novgorod Oblast, Russia",
NVS,LFQG,Nevers - Fourchambault Airport[1],"Nevers, Burgundy, France",
NVT,SBNF,Navegantes–Ministro Victor Konder International Airport,"Navegantes, Santa Catarina, Brazil",
NVY,VONV,Neyveli Airport,"Neyveli, Tamil Nadu, India",
NWA,FMCI,Mohéli Bandar Es Eslam Airport[1],"Mohéli, Comoros",
NWH,,Parlin Field (FAA: 2B3),"Newport, New Hampshire, United States",
NWI,EGSH,Norwich International Airport,"Norwich, England, United Kingdom",
NWT,,Nowata Airport[1],"Nowata, Papua New Guinea",
NYA,USHN,Nyagan Airport,"Nyagan, Khanty-Mansi Autonomous Okrug, Russia",
NYC[1],,metropolitan area2,"New York City, New York, United States",
NYE,HKNI,Nyeri Airport[1],"Nyeri, Kenya",
NYG,KNYG,MCAF Quantico (Turner Field),"Quantico, Virginia, United States",
NYI,DGSN,Sunyani Airport,"Sunyani, Ghana",
NYK,HKNY,Nanyuki Airport,"Nanyuki, Kenya",
NYM,USMM,Nadym Airport,"Nadym, Yamalo-Nenets Autonomous Okrug, Russia",
NYN,YNYN,Nyngan Airport[1],"Nyngan, New South Wales, Australia",
NYO,ESKN,Stockholm Skavsta Airport,"Stockholm / Nyköping, Sweden",
NYR,UENN,Nyurba Airport,"Nyurba, Yakutia, Russia",
NYS,,New York Skyports Seaplane Base,"New York City, United States",
NYT,VYNT,Naypyidaw Airport,"Naypyidaw (Nay Pyi Taw), Myanmar",
NYU,VYBG,Nyaung U Airport,"Bagan / Nyaung-U, Myanmar",
NYW,VYMY,Monywa Airport[1],"Monywa, Myanmar",
NZA,FNZG,Nzagi Airport,"Nzagi, Angola",
NZC,SPZA,Maria Reiche Neuman Airport,"Nazca, Peru",
NZE,GUNZ,Nzérékoré Airport,"Nzérékoré, Guinea",
NZH,ZBMZ,Manzhouli Xijiao Airport[1],"Manzhouli, Inner Mongolia, China",
NZL,,Zhalantun Chengjisihan Airport[1],"Zhalantun, Inner Mongolia, China",
NZY,KNZY,NAS North Island (Halsey Field),"San Diego, California, United States",
